Recipient,usaid,chinaaid,corruption,effectiveness,stability,regulation,gdppc,infant,population,freedom
Gabon,5082.52884514,70944.83365852047,-0.7329198876343204,-0.8425461717244602,0.04021232858258101,-0.6970082252039074,7571.872864192091,35.092655367231636,2032619.0508474577,33.59322033898305
Gambia,11144.955380903999,22158.015222507056,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,1986465.9777718,447198.87963646365,-0.19720101334369466,-0.2434179642580357,-0.029353072285704294,-0.14461305485308576,1942.150119933877,38.80739877658025,29125617.98805709,83.48907660937955
Guinea,264897.38779012003,74061.38398934726,-1.0386293628809122,-1.1732298248410429,-0.7482372406803346,-0.9641020349802796,780.7272386989972,71.72914007900334,11612668.740504406,40.724096019446975
Guinea-Bissau,3752.9131352580002,1828.8324064266646,-1.5497995814518966,-1.6865396689171601,-0.5342727812264257,-1.2379103579780548,635.3037152050209,59.07322175732217,1810634.8661087865,37.92468619246862
Kenya,10141142.044545,1997200.58319175,-0.9778368078613698,-0.39879211243194024,-1.2297861791727573,-0.3337979375175312,1527.341531723224,33.49181082075819,46905986.727456756,52.16047110783953
Lesotho,119603.86650736,754.3296540488542,0.005042543218703571,-0.8186741425390779,-0.2222637996720459,-0.42039710735766883,1081.2290443052977,62.77378481703987,2140722.2288367013,67.5204806116876
Liberia,2723466.9253001,100234.81950023338,-0.7261531682434703,-1.3501451807929765,-0.5912518979473728,-0.9169387010267944,711.5167252113785,65.67950285790243,4575568.725109664,58.95945766316629
Libya,982.092108,0,-1.44046199321747,-1.31764602661133,-1.84407651424408,-1.74517679214478,12589.52971,12.3,5985221,43
Madagascar,441314.82741435,37379.97029990521,-0.9761896419454089,-1.2230849107935629,-0.3678510782660032,-0.736750743961192,492.7900266090164,45.20640834575261,25489447.984351713,52.61549925484352
Malawi,3940433.1214536005,136339.31591846718,-0.7477409028984378,-0.7290668677877297,-0.09732341139125782,-0.8339178308505906,500.6063126842424,37.704753787878786,17227427.952272728,62.28939393939394
Mali,1225243.4837261,324045.87101456436,-0.7210377712217347,-0.9861638069152846,-1.7582518576360293,-0.6049200757945505,783.3820107728802,70.22380628717077,18142922.068309262,40.146304163126594
Mauritania,48375.69127406,23830.574269065713,-0.8562542287022787,-0.9522121875046641,-0.7301382970081137,-0.8098326053681851,1684.2660018960698,37.239213973799124,3948571.593886463,31.71353711790393
Mauritius,58.80230384,5126.369901309839,0.15984761847775109,1.0427506931068375,0.954392280227454,1.1001584358917635,9971.155917534883,12.924031007751939,1263108.6666666667,89.95348837209302
Morocco,95076.08279606,46227.36037048485,-0.27432404370266994,-0.15955314917625762,-0.37885319383359295,-0.10561458282012798,3235.9819294103004,20.395278969957083,34654507.0248927,41.769957081545066
Mozambique,2632680.5899138,411628.85639109253,-0.7650599786234221,-0.8309038190877512,-0.6576258645124506,-0.6127167627042855,552.1196930908999,59.83491773308958,27066085.74060532,56.110501726589476
Namibia,205879.34834064,17851.28493652547,0.27894549000745233,0.2325475487855808,0.7389828740075617,0.03576921206080076,5249.208866797827,33.647917923958964,2280867.9143029572,76.47676523838263
Niger,250233.27489375,42636.422615921394,-0.6670871392644524,-0.7249690749432935,-1.1914604377883544,-0.7062184900644624,515.5368470648749,61.246286417726715,20459790.82970866,52.85309807139926
Nigeria,4352191.3334452,2364258.1112877675,-1.1497024533880156,-1.056182807591296,-2.0072344806418867,-0.8323408399947857,2541.400441620238,79.26363913441024,183647465.07467234,47.118561414202986
Rwanda,705741.0850178,26577.895774929577,0.6573525699536678,0.007786571711326216,-0.10567125377592174,0.07340901788148364,727.625840567003,35.15137714753204,11599834.972729752,24.609490046359422
Sao Tome and Principe,33.342218038,310.5146646837501,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,936141.0543012,331973.60940453113,-0.04613691626545735,-0.4354879742277171,-0.12587350235452768,-0.19415839373759117,1338.6307165686555,35.465087068227234,14398995.024264915,77.62660576648587
