Recipient,usaid,chinaaid,corruption,effectiveness,stability,regulation,gdppc,infant,population,freedom
Liberia,4066048.4238772998,116213.37854630701,-0.8145526907279015,-1.3742293839959874,-0.44888169392313104,-0.9575037621597111,685.8374508958466,62.40671890167799,4797698.213354597,59.95284981278602
Libya,26673.93161204,553.7023005547559,-1.5489709244834045,-1.7210707664489748,-2.3415435166270657,-2.1165955817257913,8895.91148524074,10.069444444444445,6516942.351851852,14.351851851851851
Madagascar,1039032.94467035,94625.29239971167,-0.992609536860046,-1.1746588675643184,-0.4489560837187637,-0.7733506554817867,497.4920207866464,45.23482082488168,26708034.2124183,55.49763353617309
Malawi,6260738.826386,224848.03865477076,-0.6836849212122492,-0.7566934405642559,-0.15594967428120732,-0.8066544090936978,534.2334904295003,35.834792613133516,17922623.286447577,62.83609652486872
Mali,1846788.8731937,341406.8940274762,-0.7433882160604117,-1.0414836390592876,-1.9018865358462125,-0.615764592866715,804.9819456773056,68.02065528697446,19083217.61163936,40.067476228663075
Mauritania,88467.68548658,34764.74435263445,-0.8443968730417913,-0.8610014725316522,-0.6715517403210177,-0.8669336300790574,1799.2725930836984,35.32405784399649,4196716.698071867,32.2524101665206
Mauritius,310.092710648,7417.898648084306,0.2293103244527499,0.9467242378504876,0.893914143208367,1.091593214258308,10294.432607796733,13.758439201451907,1264602.0399274046,89.28312159709618
Morocco,204512.81548364,69553.10305346048,-0.31569161283835373,-0.21032702595281935,-0.36903777246539,-0.13268019336034845,3351.4563869841204,18.464229001253656,35546652.81487672,39.862097785206856
Mozambique,5080186.432504,456613.7403650741,-0.7840989998299945,-0.8201251245022175,-0.8869449390994976,-0.6944402136843794,517.9896453369424,56.37607793037368,28979191.02406047,51.39614606621952
Namibia,456572.32846146,26651.807655826356,0.29248335463128616,0.13023224766358393,0.6381119192477032,0.00986077866289757,5212.441634352591,31.642875719858814,2396216.1099758497,76.49117592420583
Niger,834132.31940875,128739.96791670671,-0.633139685149654,-0.7383080037029605,-1.3506557212810941,-0.7233287818816806,543.8639932752352,60.5936394429808,22254614.546669174,50.51561911930749
Nigeria,13073282.8915704,4034790.3960976703,-1.1237978552810985,-1.1058785842922947,-1.9802139484426788,-0.8998459159092672,2314.5373456355283,75.95419861841688,195689969.8416883,47.94777869319982
Rwanda,1562976.257103,74193.91895366382,0.5898669881231069,0.09526811847335549,-0.0037676910266016676,0.042683920995831216,759.9204416091978,32.861946365732315,12335070.023662178,23.378109452736318
Sao Tome and Principe,71.720114972,771.1467653025384,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,2171661.5357752,492449.11543818,-0.0244292200324104,-0.2660161583155675,-0.10141860693815775,-0.2066695298791088,1442.651554599188,32.56316655694536,15442418.659644503,74.58316875137152
Seychelles,25.348570520000003,44.85978097913472,0.7405816276868173,0.5436252514521277,0.6925258020559949,-0.07644656300544707,14865.298813333333,12.446666666666667,91156.33333333333,67
Sierra Leone,887155.1954316599,269936.7329524737,-0.6653622646561337,-1.2101416986932894,-0.10727501009564436,-0.9054777695157075,551.7730284449191,88.77393435448577,7644412.234310722,65.9457330415755
Somalia,1049087.940528,3018.6055417779685,-1.6995224793245822,-2.2269768159100956,-2.407515736901836,-2.1127718527605577,388.4792073135032,80.28394904458598,14655095.275159236,4.063694267515924
South Africa,16702587.734729098,1779051.182126628,-0.07612313810544995,0.08949499422855005,-0.2594979958088905,0.05384788084193279,6490.145702240232,27.895818466626054,57417559.81951092,78.83034548777304
South Sudan,12738740.8167939,856391.2538390561,-1.7261079690460925,-2.2236836995325495,-2.3569175658740766,-1.8416535152841156,1304.2924917175712,63.82051637497834,10817949.3388783,10.98815918673829
Sudan,3237962.3805873,164829.61404544188,-1.4753932287405869,-1.549573727026857,-2.070495513668781,-1.5271746046758499,1750.723863023587,44.274247226624404,39472123.53460116,7.535525620707871
Tanzania,12126994.133269802,364590.10567968764,-0.5566270785974455,-0.7083225506689053,-0.42729016819964716,-0.5418158946159388,1017.5446461970852,38.35639594181116,56323034.35664824,53.19598475495196
Togo,18052.032888654,18064.30179601173,-0.7626284010460483,-0.9806963762942419,-0.6069751263211071,-0.754814953927029,858.1979425281738,47.32284453496266,8016434.243380856,45.100135777325185
Tunisia,145043.75233202,17341.335131905642,-0.13002869687084773,-0.09221723489806267,-0.8538532633018894,-0.37197321126612765,3678.886491970542,14.544871120462915,11912587.037874803,71.07417148869017
Uganda,8484674.963603402,489666.44845420425,-1.0788239060549647,-0.6203965380395184,-0.7805156366494376,-0.34936995456626685,831.6732457507991,35.81050500745792,40749450.92584701,35.901200369344416
Zambia,7785094.144697798,1476687.5006421069,-0.5254889159909376,-0.6770637427526687,0.11011704643421694,-0.5398652845199634,1416.1766764498382,44.76530782957841,17150843.21107517,57.20951371849208
Zimbabwe,3271041.8792058,663234.5810654591,-1.3140648760938058,-1.3045166872240017,-0.8269976406983405,-1.5867826762764823,1463.4439753884221,39.43146591970122,14883248.202614378,28.870681605975722
